㞮	deru
㟢	saki
㡡	tobari
一	hitotsu
丁	hinoto
丂	samatagerareru
七	nanatsu
丄	ue
丅	shimo
万	yorozu
丈	take
三	mitsu
上	ue
下	shita
丌	sono
不	sezu
与	ataeru
丏	mienu
丐	kou
丑	ushi
丒	ushi
专	moppara
且	katsu
丕	ookii
世	yo
世界	sekai
丗	yo
丘	oka
丙	hinoe
丞	sukuu
丟	saru
丠	oka
両	futatsu
丢	saru
丣	tori
两	futatsu
並	nami
丨	susumu
丩	matsuwaru
个	ko
丫	hutamata
中	naka
丮	motsu
丯	sanransuru
丰	mimeyoi
丱	agemaki
串	kushi
丳	kushi
丵	kusanomuragari
丶	ten
丸	marui
丹	aka
主	nushi
丼	donburi
丽	uruwashi
举	ageru
丿	motoru
乀	magaru
乁	nagareru
乂	karu
乃	sunawachi
乄	shime
久	hisashii
乆	hisashii
乇	taku
么	eu
之	yuku
乍	tachimachi
乎	yo
乏	toboshii
乑	narabitatsu
乒	hei
乓	hau
乕	tora
乖	modoru
乗	noru
乘	noru
乙	kinoto
乚	kakureru
乜	yabunirami
九	kokonotsu
乞	kou
也	nari
乢	kasa
乣	kyuu
乨	hajimeru
乩	uranau
乪	kuma
乱	midareru
乳	chichi
乴	hineru
乵	susumu
乹	kawaku
乾	kawaku
乿	osameru
亀	kame
亁	ken
亂	midareru
亃	ureru
亄	musaboru
亅	kagi
了	owaru
予	ataeru
争	arasou
亊	koto
事	koto
二	futatsu
亍	tatazumu
于	kokoni
亏	kakeru
云	iu
互	tagai
亓	ki
五	itsutsu
井	i
亖	yo
亗	toshi
亘	motomeru
亙	wataru
些	isasaka
亜	tsugu
亝	sorou
亞	tsugu
亟	sumiyaka
亠	keisan
亡	nai
亢	takaburu
交	majiwaru
亥	i
亦	mata
亨	tatematsuru
享	susumeru
京	miyako
亭	azumaya
亮	akiraka
亯	kyou
亰	miyako
亱	yo
亳	haku
亶	atsui
亷	kado
亸	ta
亹	tsutomeru
人	hito
亼	atsumaru
亾	nai
什	kumi
仁	hito
仂	amari
仃	tei
仄	katamuku
仅	fu
仆	taoreru
仇	ada
仈	hatsu
仉	shou
今	ima
介	tasukeru
仍	yoru
从	shitagau
仏	hotoke
仐	kasa
仔	taeru
仕	tsukaeru
他	hoka
仗	yoru
付	tsukeru
仙	sennin
仚	tobu
仛	otome
仜	kou
仝	onaji
仞	hakaru
仟	kashira
仠	sokonau
仡	isamashii
仢	marukibashi
代	kawaru
令	iitsuke
以	omou
仨	sa
仭	hakaru
仮	kari
仯	saisama
仰	aogu
仱	hokoru
仲	naka
仳	wakareru
仴	gatsu
仵	ataru
件	kudari
价	yoi
任	makaseru
仼	kyou
份	akiraka
仾	hikumeru
仿	samayou
伀	ooyake
企	kuwadateru
伂	hai
伃	utsukushii
伄	chou
伅	ton
伇	eki
伈	osoreru
伉	tagui
伊	kore
伋	kibishii
伌	kurushimu
伍	kumi
伎	waza
伏	fuseru
伐	kiru
休	yasumu
伒	tasukeru
伓	hai
伔	shin
伕	musumemuko
伖	do
众	ooi
优	yuu
伙	hi
会	au
伜	segare
伝	tsutaeru
伡	kuruma
伣	ukagau
伩	makoto
伭	ken
伮	tsutomeru
伯	osa
估	akinau
伱	ji
伲	ji
伳	ogoru
伴	tomonau
伵	sabishii
伶	wazaogi
伷	yotsugi
伸	nobiru
伹	tsutanai
伺	ukagau
伻	tsukau
似	niru
伽	togi
伾	ooisama
伿	okotaru
佀	hiru
佁	orokanasama
佂	osoreawateru
佃	tsukuda
但	tadashi
佇	tatazumu
佈	amaneshi
佉	kyo
佋	tasukeru
佌	chiisai
位	kurai
低	hikui
住	sumu
佐	tasuke
佑	tasukeru
佒	aogu
体	karada
佔	miru
何	nani
